material_id,exp,mp,diff
mp-625994,-0.42102,-0.967028,0.546008
mp-669466,-0.249777,-0.769071,0.519294
mp-567638,-0.2187,-0.72231,0.50361
mp-1020193,-1.02399,-1.512667,0.488677
mp-27941,-0.062791,-0.544143,0.481352
mp-1094130,-1.000567,-1.473101,0.472534
mp-1196483,-1.182149,-1.652352,0.470203
mp-1020,-0.1451,-0.614349,0.469249
mp-27253,-0.006938,-0.466983,0.460045
mp-561851,-1.046791,-1.50339,0.456599
mp-29200,-0.948072,-1.396356,0.448284
mp-22856,-0.296627,-0.741678,0.445051
mp-13682,-0.270304,-0.713403,0.443099
mp-23301,-2.359006,-2.801268,0.442262
mp-942,-0.903057,-1.342307,0.43925
mp-22939,-1.267547,-1.695613,0.428066
mp-762,-0.381606,-0.791759,0.410153
mp-1014261,-0.861513,-1.271091,0.409578
mp-27647,-0.306801,-0.705563,0.398762
mp-22908,-0.982196,-1.378315,0.396119
mp-572758,-0.617216,-1.010939,0.393723
mp-3288,-0.984347,-1.375015,0.390668
mp-1176591,-0.95429,-1.342139,0.387849
mp-866219,-0.2581,-0.641407,0.383307
mp-2833,-0.459659,-0.842849,0.38319
mp-11219,-0.3089,-0.691917,0.383017
mp-226,-0.588345,-0.955324,0.366979
mp-541788,-0.275672,-0.633885,0.358213
mp-1027525,-0.95401,-1.308534,0.354524
mp-542613,-0.419753,-0.769355,0.349602
mp-1067933,-0.515436,-0.864757,0.349321
mp-1774,-0.2829,-0.623384,0.340484
mp-800,-0.3171,-0.652823,0.335723
mp-1189572,-0.192154,-0.525926,0.333772
mp-1188655,-0.435376,-0.76362,0.328244
mp-1183171,-0.188634,-0.512468,0.323834
mp-20250,-0.366429,-0.685869,0.31944
mp-12180,-0.711172,-1.02707,0.315898
mp-2099,-0.52495,-0.838507,0.313557
mp-1178232,-1.414723,-1.728029,0.313306
mp-1199451,-0.522971,-0.831641,0.30867
mp-288,-0.431473,-0.737438,0.305965
mp-2267,-0.2892,-0.594831,0.305631
mp-1050,-0.445834,-0.750889,0.305055
mp-943,-0.515252,-0.817432,0.30218
mp-1072244,-2.168205,-2.470166,0.301961
mp-2650,-0.304653,-0.600756,0.296103
mp-20905,-0.51025,-0.799115,0.288865
mp-1229002,-0.181763,-0.465732,0.283969
mp-2030,-0.711172,-0.992075,0.280903
mp-1582,-1.363316,-1.638504,0.275188
mp-1178562,-0.021682,-0.296269,0.274587
mp-34381,-0.349081,-0.617267,0.268186
mp-2242,-0.317147,-0.584644,0.267497
mvc-11233,-0.507849,-0.77362,0.265771
mp-625242,-1.450998,-1.715056,0.264058
mp-1513,-0.530407,-0.791833,0.261426
mp-2057,-0.313,-0.565345,0.252345
mp-1103643,-0.453879,-0.699237,0.245358
mp-1023128,-0.285017,-0.525467,0.24045
mp-13068,-3.893234,-4.133256,0.240022
mp-1627,-0.843865,-1.082126,0.238261
mp-29014,-0.323496,-0.561022,0.237526
mp-1547,-0.455323,-0.690434,0.235111
mp-1274,-0.507849,-0.741558,0.233709
mp-766361,-2.812478,-3.045131,0.232653
mp-569250,-0.2912,-0.520788,0.229588
mp-560717,-0.873064,-1.101308,0.228244
mp-1018804,-0.773327,-0.996589,0.223262
mp-1989,-0.3949,-0.616064,0.221164
mp-353,-0.107547,-0.327671,0.220124
mp-721851,-2.084773,-2.304624,0.219851
mp-1773,-0.2228,-0.429816,0.207016
mp-2696,-0.0452,-0.251728,0.206528
mp-1788,-1.371045,-1.57146,0.200415
mp-716052,-1.659601,-1.858679,0.199078
mp-1021511,-0.774211,-0.972411,0.1982
mp-7592,-1.05158,-1.248519,0.196939
mp-1542,-0.37,-0.5648,0.1948
mp-22375,-0.73719,-0.931002,0.193812
mp-567612,-0.2042,-0.393099,0.188899
mp-1220109,-0.448385,-0.63619,0.187805
mp-1271352,-2.052125,-2.23968,0.187555
mp-2006,-0.3047,-0.490907,0.186207
mp-305,-0.2332,-0.41788,0.18468
mp-1949,-0.0891,-0.271193,0.182093
mp-2762,-0.6156,-0.796123,0.180523
mp-690,-0.351153,-0.530344,0.179191
mp-19079,-1.233348,-1.410028,0.17668
mp-965,-0.3545,-0.531026,0.176526
mp-675324,-2.516445,-2.692794,0.176349
mp-776097,-3.854127,-4.030009,0.175882
mp-2705,-0.284,-0.45915,0.17515
mp-7826,-0.470952,-0.645727,0.174775
